t [s]	V_veh [km/h]	pente [0]	rapport [-]	q_carb [mg/cp]
0	0	0	0	0
0.1	0	0	0	0
0.2	0	0	0	0
0.3	0	0	0	27.267
0.4	0	0	0	27.267
0.5	0	0	0	20.559
0.6	0	0	0	6.685
0.7	0	0	0	7.538
0.8	0	0	0	8.918
0.9	0	0	0	8.736
1	0	0	0	8.468
1.1	0	0	0	8.62
1.2	0	0	0	8.385
1.3	0	0	0	8.278
1.4	0	0	0	8.535
1.5	0	0	0	8.091
1.6	0	0	0	8.218
1.7	0	0	0	8.157
1.8	0	0	0	8.03
1.9	0	0	0	8.276
2	0	0	0	8.443
2.1	0	0	0	7.936
2.2	0	0	0	7.848
2.3	0	0	0	7.836
2.4	0	0	0	7.711
2.5	0	0	0	7.822
2.6	0	0	0	8.193
2.7	0	0	0	8.236
2.8	0	0	0	10.028
2.9	0	0	0	9.823
3	0	0	0	12.443
3.1	0	0	0	12.41
3.2	0	0	0	11.319
3.3	0	0	0	10.62
3.4	0	0	0	12.863
3.5	0	0	0	11.757
3.6	0	0	0	9.912
3.7	0	0	0	11.466
3.8	0	0	0	10.818
3.9	0	0	0	10.378
4	0	0	0	9.826
4.1	0	0	0	10.288
4.2	0	0	0	10.998
4.3	0	0	0	10.173
4.4	0	0	0	9.706
4.5	0	0	0	10.143
4.6	0	0	0	9.954
4.7	0	0	0	9.863
4.8	0	0	0	10.409
4.9	0	0	0	9.782
5	0	0	0	10.722
5.1	0	0	0	9.481
5.2	0	0	0	10.312
5.3	0	0	0	9.999
5.4	0	0	0	10.09
5.5	0	0	0	10.475
5.6	0	0	0	10.322
5.7	0	0	0	9.352
5.8	0	0	0	10.287
5.9	0	0	0	9.329
6	0	0	0	9.843
6.1	0	0	0	10.16
6.2	0	0	0	9.592
6.3	0	0	0	10.364
6.4	0	0	0	10.011
6.5	0	0	0	9.452
6.6	0	0	0	10.385
6.7	0	0	0	9.677
6.8	0	0	0	10.064
6.9	0	0	0	10.467
7	0	0	0	9.763
7.1	0	0	0	9.919
7.2	0	0	0	10.245
7.3	0	0	0	9.943
7.4	0	0	0	10.928
7.5	0	0	0	10.438
7.6	0	0	0	10.117
7.7	0	0	0	10.077
7.8	0	0	0	10.322
7.9	0	0	0	10.416
8	0	0	0	10.133
8.1	0	0	0	10.561
8.2	0	0	0	10.534
8.3	0	0	0	10.149
8.4	0	0	0	10.221
8.5	0	0	0	10.281
8.6	0	0	0	10.736
8.7	0	0	0	10.575
8.8	0	0	0	10.303
8.9	0	0	0	10.625
9	0	0	0	10.723
9.1	0	0	0	10.71
9.2	0	0	0	10.694
9.3	0	0	0	11.16
9.4	0	0	0	11.27
9.5	0	0	0	10.855
9.6	0	0	0	11.325
9.7	0	0	0	11.565
9.8	0	0	0	10.918
9.9	0	0	0	11.224
10	0	0	0	11.169
10.1	0	0	0	11.488
10.2	0	0	0	11.534
10.3	0	0	0	11.338
10.4	0	0	0	11.557
10.5	0	0	0	11.578
10.6	0	0	0	11.992
10.7	0	0	0	12
10.8	0	0	0	11.677
10.9	0	0	0	11.722
11	0	0	0	10.947
11.1	0	0	0	10.854
11.2	0	0	0	10.061
11.3	0	0	0	10.037
11.4	0	0	0	10.072
11.5	0	0	0	10.185
11.6	0	0	0	10.098
11.7	0	0	0	10.413
11.8	0	0	0	11.816
11.9	0	0	0	12.785
12	0	0	0	10.853
12.1	0	0	0	11.759
12.2	0	0	0	10.952
12.3	0	0	0	10.634
12.4	0	0	0	10.785
12.5	0	0	0	11.74
12.6	0	0	0	12.27
12.7	0	0	0	13.078
12.8	0	0	0	18.794
12.9	0	0	0	22.498
13	0.47	0	1	11.691
13.1	0.93	0	1	11.68
13.2	1.37	0	1	16.393
13.3	1.81	0	1	15.942
13.4	2.22	0	1	13.889
13.5	2.62	0	1	15.738
13.6	3.05	0	1	15.884
13.7	3.49	0	1	15.913
13.8	3.95	0	1	17.514
13.9	4.42	0	1	16.634
14	4.89	0	1	16.053
14.1	5.4	0	1	14.969
14.2	5.86	0	1	16.791
14.3	6.39	0	1	17.654
14.4	6.9	0	1	17.072
14.5	7.42	0	1	22.923
14.6	7.92	0	1	17.739
14.7	8.46	0	1	16.013
14.8	8.91	0	1	16.339
14.9	9.47	0	1	16.515
15	9.88	0	1	16.302
15.1	10.25	0	1	14.939
15.2	10.62	0	1	12.422
15.3	10.94	0	1	10.139
15.4	11.04	0	1	10.211
15.5	11.1	0	1	10.371
15.6	11.22	0	1	10.185
15.7	11.32	0	1	10.259
15.8	11.35	0	1	11.033
15.9	11.43	0	1	11.406
16	11.58	0	1	11.957
16.1	11.71	0	1	14.117
16.2	11.99	0	1	15.994
16.3	12.41	0	1	18.424
16.4	12.85	0	1	20.512
16.5	13.37	0	1	22.024
16.6	13.94	0	1	22.913
16.7	14.59	0	1	23.632
16.8	15.26	0	1	23.528
16.9	16.02	0	1	17.075
17	16.57	0	1	10.01
17.1	16.67	0	1	5.441
17.2	16.95	0	1	3.973
17.3	17.17	0	1	1.278
17.4	16.98	0	1	1.998
17.5	17.02	0	1	5.495
17.6	17.63	0	1	13.185
17.7	17.71	0	1	23.665
17.8	17.84	0	1	21.167
17.9	18.68	0	1	24.159
18	18.98	0	1	23.959
18.1	19.4	0	1	26.327
18.2	19.98	0	1	25.226
18.3	20.53	0	1	27.804
18.4	20.97	0	1	28.186
18.5	21.6	0	1	28.907
18.6	22.17	0	1	29.958
18.7	22.75	0	1	30.717
18.8	23.46	0	1	30.407
18.9	24.16	0	2	28.191
19	24.75	0	2	21.752
19.1	25.23	0	2	17.427
19.2	25.64	0	2	12.338
19.3	25.9	0	2	6.486
19.4	25.88	0	2	3.766
19.5	25.98	0	2	3.937
19.6	25.76	0	2	3.963
19.7	25.83	0	2	4.432
19.8	25.75	0	2	5.119
19.9	25.66	0	2	8.516
20	25.85	0	2	10.812
20.1	25.87	0	2	11.924
20.2	25.98	0	2	12.319
20.3	26.2	0	2	13.061
20.4	26.37	0	2	17.271
20.5	26.67	0	2	19.868
20.6	27.03	0	2	21.519
20.7	27.35	0	2	18.525
20.8	27.75	0	2	14.224
20.9	27.92	0	2	11.064
21	28.11	0	2	9.695
21.1	28.32	0	2	8.937
21.2	28.37	0	2	9.361
21.3	28.48	0	2	9.02
21.4	28.56	0	2	8.797
21.5	28.56	0	2	7.381
21.6	28.54	0	2	0
21.7	28.32	0	2	0
21.8	28.49	0	2	0
21.9	28.43	0	2	0
22	28.37	0	2	0
22.1	28.37	0	2	0
22.2	28.28	0	2	0
22.3	28.28	0	2	0.759
22.4	28.22	0	2	3.138
22.5	28.12	0	2	5.689
22.6	28.12	0	2	7.177
22.7	28.33	0	2	9.242
22.8	28.13	0	2	12.253
22.9	28.33	0	2	13.553
23	28.51	0	3	13.612
23.1	28.55	0	3	13.297
23.2	28.7	0	3	10.837
23.3	28.78	0	3	9.888
23.4	28.83	0	3	9.118
23.5	28.84	0	3	8.944
23.6	28.85	0	3	9.399
23.7	28.88	0	3	9.962
23.8	28.88	0	3	10.302
23.9	28.85	0	3	10.895
24	28.89	0	3	11.137
24.1	28.87	0	3	11.19
24.2	28.9	0	3	11.329
24.3	28.94	0	3	12.777
24.4	29.02	0	3	14.205
24.5	29.11	0	3	15.282
24.6	29.16	0	3	15.763
24.7	29.31	0	3	15.997
24.8	29.47	0	3	15.549
24.9	29.59	0	3	15.629
25	29.78	0	3	15.459
25.1	29.92	0	3	15.554
25.2	30.11	0	3	16.149
25.3	30.33	0	3	17.118
25.4	30.49	0	3	17.875
25.5	30.72	0	3	18.461
25.6	30.92	0	3	18.828
25.7	31.18	0	3	18.957
25.8	31.41	0	3	18.969
25.9	31.66	0	3	18.655
26	31.86	0	3	17.512
